CODIGO	PROVINCIA	TECNOLOGIA	PRODUCCION_EN_BORNES_DE_LOS_GENERADORES_GWh	PRODUCCION_NETA_GWH	YEAR	PROD_NETAGBH_X_HAB100K	POP100K	PROD_NETAGWH_X_PIBG	PIBG
08	BARCELONA	Hidraulica	378.00	366.00	2018	6.52	56.09	2.13	171.92
08	BARCELONA	Hidraulica	40.00	40.00	2022	0.70	57.28	0
08	BARCELONA	Nuclear	0.00	0.00	2013	0.00	55.41	0.00	141.40
08	BARCELONA	Nuclear	0.00	0.00	2014	0.00	55.24	0.00	144.10
08	BARCELONA	Nuclear	0.00	0.00	2015	0.00	55.24	0.00	150.56
08	BARCELONA	Nuclear	0.00	0.00	2016	0.00	55.43	0.00	157.15
08	BARCELONA	Nuclear	0.00	0.00	2017	0.00	55.76	0.00	165.41
08	BARCELONA	Nuclear	0.00	0.00	2018	0.00	56.09	0.00	171.92
08	BARCELONA	Nuclear	0.00	0.00	2019	0.00	56.65	0.00	179.20
08	BARCELONA	Nuclear	0.00	0.00	2020	0.00	57.43	0.00	159.80
08	BARCELONA	Nuclear	0.00	0.00	2021	0.00	57.15	0
08	BARCELONA	Nuclear	0.00	0.00	2022	0.00	57.28	0
08	BARCELONA	Solar fotovoltaica	129.00	128.00	2021	2.24	57.15	0
08	BARCELONA	Solar fotovoltaica	134.00	133.00	2022	2.32	57.28	0
08	BARCELONA	Solar fotovoltaica	136.00	135.00	2020	2.35	57.43	0.84	159.80
08	BARCELONA	Solar fotovoltaica	137.00	136.00	2018	2.42	56.09	0.79	171.92
08	BARCELONA	Solar fotovoltaica	140.82	140.82	2014	2.55	55.24	0.98	144.10
08	BARCELONA	Solar fotovoltaica	144.14	142.72	2016	2.57	55.43	0.91	157.15
08	BARCELONA	Solar fotovoltaica	145.01	145.01	2015	2.63	55.24	0.96	150.56
08	BARCELONA	Solar fotovoltaica	145.95	144.50	2017	2.59	55.76	0.87	165.41
08	BARCELONA	Solar fotovoltaica	147.16	147.16	2013	2.66	55.41	1.04	141.40
08	BARCELONA	Solar fotovoltaica	148.00	147.00	2019	2.60	56.65	0.82	179.20
08	BARCELONA	Solar termica	0.00	0.00	2013	0.00	55.41	0.00	141.40
08	BARCELONA	Solar termica	0.00	0.00	2014	0.00	55.24	0.00	144.10
08	BARCELONA	Solar termica	0.00	0.00	2015	0.00	55.24	0.00	150.56
